# 卷一 第一单元 判答结果（教材/知识推断）
一	一	1	A	生物医学模式-解析确认
一	一	2	B	现况研究=患病率
一	一	3	B	糖原分解最初产物葡萄糖-1-磷酸
一	一	5	B	口角炎等=核黄素缺乏
一	一	6	C	乙酰胆碱
一	一	8	E	精子捐赠助孕允许;代孕/卵浆核移植禁
一	一	9	A	G+菌无脂多糖
一	一	10	A	系统抽样
一	一	11	E	小剂量阿司匹林抑制TXA2
一	一	12	B	患者本人
一	一	13	A	心境
一	一	14	A	《医师法》隐私权
一	一	15	C	经载体易化扩散
一	一	16	D	荚膜抗吞噬
一	一	18	B	哌替啶抑制新生儿呼吸
一	一	19	D	亮氨酸生酮,不能糖异生
一	一	21	B	分泌型IgA=二聚体
一	一	22	E	职工医疗保障非职业卫生服务原则
一	一	24	D	临床预防不含药物治疗
一	一	25	E	注意倾听
一	一	27	E	暴露率观察=现况研究
一	一	32	A	胃肠道癌血行转移→肝
一	一	33	D	心理治疗回避双重关系=回避原则
一	一	35	B	右心IE栓塞→肺动脉
一	一	36	C	婚前检查不包括肺结核
一	一	37	D	查阅复印病历=知情同意权
一	一	38	D	兴奋性=阈强度
一	一	39	C	艾滋病乙类
一	一	40	D	人本主义核心=倾听
一	一	42	A	阿托品后心率增快证明迷走紧张
一	一	43	C	伪膜性炎=纤维蛋白
一	一	44	A	医院有害因素不含社会因素(推断)
一	一	45	C	心衰细胞=慢性左心衰
一	一	46	E	形式公正=人人公平分配
一	一	49	D	G6PD缺乏蚕豆病
一	一	51	D	5-FU抑dTMP合成
一	一	52	A	清除率=肾小球滤过率
一	一	53	E	抗原决定簇-表面特殊化学基团
一	一	55	B	栓塞(过程)
一	一	56	B	切除修复
一	一	57	C	VitK不用于链激酶过量
一	一	58	C	人体研究伦理不含随机对照原则
一	一	59	B	死亡率=频率指标
一	一	60	E	着色性干皮病-紫外线
一	一	61	E	变质的药品=假药
一	一	62	A	跟腱反射牵拉刺激肌梭
一	一	63	B	四环素谱不含伤寒杆菌
一	一	64	C	慢性肾炎=颗粒性固缩肾
一	一	65	C	乳腺纤维腺瘤非癌前
一	一	66	D	角色行为减退
一	一	67	D	霉变玉米食物中毒
一	一	69	E	母婴方针不含保障母婴健康为目标项
一	一	70	D	OR用于病例对照研究
一	一	71	A	IgM最早
一	一	72	A	侵蚀性葡萄胎-子宫深肌层见绒毛
一	一	73	A	Kaposi肉瘤
一	一	74	D	新月体肾炎壁层上皮增生
一	一	76	E	外源性TG转运=乳糜微粒CM
一	一	77	B	Meta分析采用一次文献
一	一	79	B	肺炎链球菌大叶
一	一	82	E	法定传染病报告-属地防疫机构
一	一	83	C	已开始戒=行动阶段
一	一	84	E	急性重型肝炎肝细胞大片坏死
一	一	85	C	缺铁性贫血-动物肝脏
一	一	86	C	三偏=内囊
一	一	87	C	机会性筛检
一	一	88	D	履行知情同意原则
一	一	91	B	多发性骨髓瘤
一	一	92	D	回避原则
一	一	93	B	IPF限制性通气障碍为主因(气短)
一	一	98	B	帕金森首选复方左旋多巴
一	一	101	E	UC首选5-ASA口服
一	一	102	D	醛固酮高-螺内酯
一	一	104	D	低钾+低渗性脱水
一	一	105	B	大量输血需院级签字(推断)
一	一	110	E	失神发作
一	一	111	A	胰岛素瘤
一	一	112	B	灰色肝变-中性粒+纤维蛋白
一	一	114	D	未经医师亲自诊查
一	一	116	B	投射法TAT
一	一	123	C	系膜增生性肾炎
一	一	125	C	无效假设率相等
一	一	126	B	P<0.05差异有统计学意义
一	一	130	B	LTB4趋化因子
一	一	132	C	真菌典型核与细胞器
一	一	133	E	胃癌—异型增生
一	一	134	A	食管腺癌—Barrett上皮
一	一	136	A	真核转录必需-启动子
一	一	137	B	急救伦理-勇担风险团结协作
一	一	138	A	药物伦理-理解尊重平等相待(推断)
一	一	139	D	康复伦理-全面系统认真细致(推断)
一	一	140	E	个体行医执业满5年
一	一	141	C	中止2年重新注册
一	一	142	D	立克次体-多西环素
一	一	143	C	隐球菌-氟康唑
一	一	145	B	变异型心绞痛-硝苯地平
一	一	146	C	脑血管痉挛-尼莫地平
一	一	147	B	含硫氨基酸-甲硫氨酸
一	一	148	E	生酮氨基酸-赖氨酸
一	一	149	A	一级预防-孕前补叶酸
